time_in_seconds;cap_sensor;licht;temperatur
7869;1758.388427734375;925.128234863281;1016.996398925781
7886;1742.271118164062;925.934082031250;1014.578796386719
7904;1739.047729492188;924.322387695312;1013.772949218750
7922;1754.359008789062;938.022033691406;1006.520202636719
7940;1755.970825195312;931.575134277344;994.432250976562
7957;1751.135620117188;925.934082031250;1014.578796386719
7975;1756.776611328125;928.351684570312;994.432250976562
7992;1753.553222656250;927.545837402344;1012.967041015625
8010;1746.300415039062;925.128234863281;1019.413940429688
8028;1771.282104492188;927.545837402344;1016.996398925781
8045;1755.970825195312;921.098937988281;1002.490905761719
8063;1761.611816406250;917.875488281250;1012.161193847656
8081;1759.194213867188;922.710693359375;1004.102600097656
8099;1746.300415039062;924.322387695312;997.655700683594
8116;1747.106323242188;917.875488281250;1014.578796386719
8134;1755.970825195312;935.604431152344;1007.326049804688
8151;1755.970825195312;927.545837402344;998.461547851562
8169;1744.688720703125;923.516540527344;1008.131896972656
8187;1751.941528320312;922.710693359375;1000.879150390625
8205;1761.611816406250;925.128234863281;998.461547851562
8222;1736.630126953125;925.934082031250;999.267456054688
8240;1759.194213867188;925.128234863281;996.044006347656
8257;1772.893920898438;925.128234863281;997.655700683594
8275;1751.135620117188;919.487243652344;1007.326049804688
8293;1742.271118164062;925.128234863281;992.014709472656
8310;1752.747314453125;920.293090820312;1005.714294433594
8328;1771.282104492188;925.934082031250;997.655700683594
8346;1759.194213867188;925.934082031250;996.044006347656
8363;1738.241821289062;921.904785156250;1006.520202636719
8381;1740.659423828125;921.904785156250;1009.743652343750
8399;1762.417724609375;921.904785156250;1007.326049804688
8416;1747.912231445312;920.293090820312;1011.355346679688
8434;1742.271118164062;920.293090820312;1004.102600097656
8452;1760.805908203125;923.516540527344;1011.355346679688
8469;1741.465332031250;925.128234863281;996.849853515625
8487;1738.241821289062;921.904785156250;1008.937744140625
8505;1750.329711914062;921.098937988281;1000.879150390625
8522;1761.611816406250;922.710693359375;1010.549499511719
8540;1746.300415039062;922.710693359375;1000.879150390625
8558;1758.388427734375;921.904785156250;1000.073303222656
8575;1755.164916992188;918.681335449219;1010.549499511719
8593;1753.553222656250;918.681335449219;1012.161193847656
8611;1756.776611328125;920.293090820312;1010.549499511719
8628;1756.776611328125;917.875488281250;1010.549499511719
8646;1743.077026367188;921.098937988281;1011.355346679688
8664;1755.970825195312;922.710693359375;993.626403808594
8681;1764.835205078125;920.293090820312;1001.684997558594
8699;1755.970825195312;917.875488281250;1005.714294433594
8717;1748.718017578125;918.681335449219;1012.967041015625
8734;1743.077026367188;923.516540527344;993.626403808594
8752;1755.970825195312;921.098937988281;1008.131896972656
8770;1756.776611328125;921.904785156250;998.461547851562
8787;1749.523925781250;921.904785156250;1002.490905761719
8805;1749.523925781250;922.710693359375;1004.908447265625
8823;1763.223510742188;929.963439941406;1017.802246093750
8840;1743.077026367188;930.769287109375;997.655700683594
8858;1751.941528320312;917.875488281250;1005.714294433594
8876;1747.106323242188;929.963439941406;1011.355346679688
8893;1769.670410156250;921.098937988281;1000.879150390625
8911;1751.135620117188;919.487243652344;1012.967041015625
8929;1756.776611328125;921.098937988281;1012.161193847656
8946;1750.329711914062;918.681335449219;1008.131896972656
8964;1764.835205078125;919.487243652344;1004.102600097656
8982;1740.659423828125;919.487243652344;1016.190490722656
8999;1759.194213867188;921.904785156250;1013.772949218750
9017;1746.300415039062;921.098937988281;1004.908447265625
9035;1739.047729492188;924.322387695312;1000.073303222656
9052;1747.912231445312;919.487243652344;1010.549499511719
9070;1755.970825195312;921.098937988281;993.626403808594
9088;1764.835205078125;917.875488281250;1001.684997558594
9105;1750.329711914062;921.098937988281;999.267456054688
9123;1755.164916992188;914.652038574219;1008.937744140625
9141;1751.941528320312;917.875488281250;1008.131896972656
9158;1744.688720703125;918.681335449219;997.655700683594
9176;1755.970825195312;921.098937988281;1003.296752929688
9194;1767.252807617188;918.681335449219;995.238159179688
9211;1760.805908203125;916.263793945312;1014.578796386719
9229;1756.776611328125;918.681335449219;1006.520202636719
9247;1756.776611328125;917.875488281250;1016.996398925781
9264;1756.776611328125;914.652038574219;1017.802246093750
9282;1749.523925781250;915.457946777344;1017.802246093750
9300;1757.582519531250;918.681335449219;1016.190490722656
9317;1744.688720703125;913.846191406250;1006.520202636719
9335;1747.106323242188;919.487243652344;992.820556640625
9353;1750.329711914062;917.069641113281;996.849853515625
9370;1775.311401367188;917.875488281250;996.849853515625
9388;1762.417724609375;917.069641113281;1000.073303222656
9406;1747.106323242188;917.069641113281;1016.190490722656
9423;1753.553222656250;914.652038574219;1006.520202636719
9441;1751.135620117188;917.069641113281;996.044006347656
9459;1748.718017578125;913.846191406250;1011.355346679688
9476;1753.553222656250;917.875488281250;1014.578796386719
9494;1740.659423828125;918.681335449219;1012.161193847656
9512;1753.553222656250;919.487243652344;1009.743652343750
9529;1747.912231445312;916.263793945312;1009.743652343750
